COMMON NAME,SCIENTIFIC NAME,HAWAIIAN ISLANDS,NWHI,SEHI
Leach's Storm-Petrel,Oceanodroma leucorhoa,W,W,W
Least Sandpiper,Calidris minutilla,W,,W
Least Tern,Sternula antillarum,B,B,M
Lesser 'Akialoa,Akialoa obscura,X,,X
Lesser Black-backed Gull,Larus fuscus,V,V,
Lesser Frigatebird,Fregata ariel,B,B,V
Lesser Koa-Finch,Rhodacanthis flaviceps,X,,X
Lesser Sand-Plover,Charadrius mongolus,V,V,
Lesser Scaup,Aythya affinis,W,W,W
Lesser Yellowlegs,Tringa flavipes,M,M,M
Little Blue Heron,Egretta caerulea,V,,V
Little Stint,Calidris minuta,V,V,V
Little Tern,Sternula albifrons,B,B,
Long-billed Dowitcher,Limnodromus scolopaceus,W,W,W
Long-tailed Duck,Clangula hyemalis,V,V,V
Long-tailed Jaeger,Stercorarius longicaudus,M,M,M
Long-toed Stint,Calidris subminuta,V,V,
Mallard,Anas platyrhynchos,W,W,W
Marbled Godwit,Limosa fedoa,V,V,V
Mariana Swiftlet,Aerodramus bartschi,N,,N
Marsh Sandpiper,Tringa stagnatilis,V,V,V
Masked Booby,Sula dactylatra,B,B,B
Maui 'Akepa,Loxops ochraceus,R,,R
Maui 'Alauahio,Paroreomyza montana,R,,R
Maui Nukupuu,Hemignathus affinis,X,,X
Maui Parrotbill,Pseudonestor xanthophrys,R,,R
Maui-nui 'Akialoa,Akialoa lanaiensis,X,,X
Merlin,Falco columbarius,V,V,V
Mew Gull,Larus canus,V,V,V
Millerbird,Acrocephalus familiaris,R,R,
Mitred Parakeet,Psitticara mitrata,N,,N
Mottled Petrel,Pterodroma inexpectata,M,M,M
Mourning Dove,Zenaida macroura,N,n,N
Murphy's Petrel,Pterodroma ultima,M,M,M
Nazca Booby,Sula granti,V,V,V
Newell's Shearwater,Puffinus newelli,B,M,B
Nihoa Finch,Telespiza ultima,R,R,
Northern Cardinal,Cardinalis cardinalis,N,n,N
Northern Fulmar,Fulmarus glacialis,W,W,W
Northern Harrier,Circus cyaneus,V,V,V
Northern Mockingbird,Mimus polyglottos,N,n,N
Northern Pintail,Anas acuta,W,W,W
Northern Shoveler,Anas clypeata,W,W,W
O'ahu 'Akepa,Loxops wolstenholmei,X,,X
O'ahu 'Akialoa,Akialoa ellisiana,X,,X
O'ahu 'Alauahio,Paroreomyza maculata,X,,X
O'ahu 'Amakihi,Chlorodrepanis flavus,R,,R
O'ahu 'Elepaio,Chasiempis ibidis,R,,R
O'ahu Nukupuu,Hemignathus lucidus,X,,X
O'u,Psittirostra psittacea,X,,X
Oahu 'O'o,Moho apicalis,X,,X
Olive-backed Pipit,Anthus hodgsoni,V,V,
Oloma'o,Myadestes lanaiensis,X,,X
Oma'o,Myadestes obscurus,R,,R
Orange-cheeked Waxbill,Estrilda melpoda,N,,N
Osprey,Pandion haliaetus,W,W,W
Pacific Golden-Plover,Pluvialis fulva,W,W,W
Pacific Loon,Gavia pacifica,V,,V
Pale-headed Rosella,Platycercus adscitus,x,,x
Palila,Loxioides bailleui,R,,R
Parakeet Auklet,Aethia psittacula,V,V,
Parasitic Jaeger,Stercorarius parasiticus,M,M,M
Pectoral Sandpiper,Calidris melanotos,M,M,M
Pelagic Cormorant,Phalacrocorax pelagicus,V,V,
Peregrine Falcon,Falco peregrinus,W,W,W
Pied-billed Grebe,Podilymbus podiceps,W,,W
Pin-tailed Snipe,Gallinago stenura,V,V,
Pink-footed Shearwater,Ardenna creatopus,V,,V
Po'o-uli,Melamprosops phaeosoma,X,,X
